nome_usuario,cpf,descricao_produto,avaliacao_descricao,marca_produto,avaliacao_marca
Vitoria Costa Andrade,13247830448,refrigerante coca cola,3,bare,3
Matheus Ferreira Santana,1291102647,biscoito trigolino brig,2,trigolino,5
Isabela Santos Lima,25925780132,suco kapo uva,4,kapo,3
Matheus Ferreira Santana,1291102647,achoc po nescau,4,nescau,5
Beatriz Moreira Lima,70903418525,batata palha scrush,5,scrush,3
Isabela Nunes Cardoso,45161646632,melancia kg,3,generico,5
Vinicius Cardoso Costa,97616924000,suco kapo uva,4,kapo,2
Andre Barbosa Lima,77106803308,acucar refinado uniao,5,união,3
Matheus Ferreira Santana,1291102647,refrigerante laranjinha,5,laranjinha,3
Andre Barbosa Lima,77106803308,cafe pilao,4,pilao,3
Vinicius Cardoso Costa,97616924000,pao de forma,5,generico,5
Matheus Ferreira Santana,1291102647,suco kapo maracuja,4,kapo,3
Olivia Oliveira Freitas,94232829032,refrigerante laranjinha,4,laranjinha,5
Vinicius Lopes Fernandes,64448139212,leite cond mococa,3,mococa,4
Henrique Santos Almeida,10114581010,biscoito trigolino brig,4,trigolino,3
Zoe Carvalho Ferreira,60747317305,suco kapo maracuja,3,kapo,3
Beatriz Moreira Lima,70903418525,bala freeg eucalpito,5,freegells,3
Caio Moreira Costa,11387575864,cafe pilao,1,pilao,5
Caio Moreira Costa,11387575864,pao frances,4,generico,1
Patricia Oliveira Barbosa,86406968026,pao int rap10,4,rap10,4
Isabela Santos Lima,25925780132,sabonete dove,4,dove,3
Vitoria Costa Andrade,13247830448,sorvete toya chocolate,3,toya,3
Vitoria Costa Andrade,13247830448,biscoito trigolino brig,4,trigolino,3
Larissa Carvalho Ferreira,45756376372,papel higienico flor lotus perfurmado 4un,3,flor de lotus,3
Joao Nascimento Lima,6167112398,suco laranja dafruta,1,dafruta,4
Vinicius Lopes Fernandes,64448139212,refrigerante laranjinha,5,laranjinha,5
Ana Marques Vieira,81076193820,acucar refinado uniao,5,união,4
Igor Souza Moreira,95830436809,suco laranja dafruta,1,dafruta,2
Beatriz Marques Barbosa,55565857503,nissin tomate turm mon,3,nissin,5
Vinicius Lopes Fernandes,64448139212,pao int rap10,5,rap10,5
Zoe Carvalho Ferreira,60747317305,oleo soja soya,5,soya,1
Vinicius Lopes Fernandes,64448139212,cafe pilao,4,pilao,5
Isabela Costa Souza,71475109172,calabresa perdigao,5,perdigao,4
Isabela Costa Souza,71475109172,nissin tomate turm mon,3,nissin,5
Isabela Santos Lima,25925780132,sabonete dove,4,palmolive,1
Larissa Carvalho Ferreira,45756376372,suco kapo uva,5,kapo,4
Larissa Carvalho Ferreira,45756376372,oleo soja soya,4,soya,4
Igor Souza Moreira,95830436809,rosquinha galo coco,2,galo,5
Ana Marques Vieira,81076193820,suco kapo uva,2,kapo,3
Igor Souza Moreira,95830436809,sabonete dove,5,dove,4
Olivia Oliveira Freitas,94232829032,creme dental colgate,5,colgate,5
Ana Marques Vieira,81076193820,pao frances,5,generico,3
Isabela Costa Souza,71475109172,farinha lactea nestle,5,nestle,4
Caio Moreira Costa,11387575864,biscoito trigolino brig,4,trigolino,4
Isabela Santos Lima,25925780132,cafe pilao,2,pilao,4
Andre Barbosa Lima,77106803308,cheiro verde misto,5,generico,5
Otavio Souza Rocha,12548055590,refrigerante laranjinha,3,laranjinha,4
Joao Nascimento Lima,6167112398,cheiro verde misto,5,generico,4
Igor Souza Moreira,95830436809,melancia kg,4,generico,2
Patricia Oliveira Barbosa,86406968026,cheiro verde misto,4,generico,3
Caio Moreira Costa,11387575864,calabresa perdigao,3,perdigao,4
Isabela Santos Lima,25925780132,suco kapo uva,4,kapo,4
Matheus Ferreira Santana,1291102647,suco kapo uva,4,kapo,5
Andre Barbosa Lima,77106803308,queijo muss fatiado,3,generico,4
Beatriz Moreira Lima,70903418525,goma tapioca jo alimentos,3,generico,5
Matheus Ferreira Santana,1291102647,pao frances,5,generico,4
Vinicius Lopes Fernandes,64448139212,manteiga aviacao,5,aviacao,2
Larissa Carvalho Ferreira,45756376372,nissin tomate turm mon,3,nissin,5
Otavio Souza Rocha,12548055590,pao int rap10,5,rap10,3
Ana Marques Vieira,81076193820,leite cond mococa,4,mococa,5
Caio Moreira Costa,11387575864,batata palha scrush,5,scrush,4
Joao Nascimento Lima,6167112398,refrigerante grapette,5,grapette,1
Beatriz Moreira Lima,70903418525,queijo muss fatiado,4,generico,4
Larissa Carvalho Ferreira,45756376372,farinha lactea nestle,5,nestle,1
Isabela Nunes Cardoso,45161646632,guarana classic 2lt,5,guarana antartica,4
Otavio Souza Rocha,12548055590,calabresa perdigao,5,perdigao,4
Igor Souza Moreira,95830436809,queijo muss fatiado,4,generico,4
Henrique Santos Almeida,10114581010,salsicha ht dog seara,5,seara,5
Isabela Santos Lima,25925780132,rosquinha galo coco,4,galo,3
Vinicius Cardoso Costa,97616924000,cafe pilao,4,pilao,1
Larissa Carvalho Ferreira,45756376372,suco laranja dafruta,3,laranjinha,1
