nome_usuario,cpf,descricao_produto,avaliacao_descricao,marca_produto,avaliacao_marca,id
Isabela Santos Lima,25925780132,creme dental colgate,3,colgate,4,6675903bd8378edd
Henrique Santos Almeida,10114581010,refrigerante grapette,3,grapette,1,b18ec33b49021f37
Vinicius Cardoso Costa,97616924000,oleo soya,3,soya,3,a487f6e16421e74e
Isabela Santos Lima,25925780132,bala eucalipto freegells,4,freegells,5,5fa1193e6c084a06
Ana Marques Vieira,81076193820,goma tapioca jo alimentos,3,generico,5,b0f59646ddc9458c
Zoe Carvalho Ferreira,60747317305,rosquinha coco galo,4,galo,5,404ff7046866c3ed
Zoe Carvalho Ferreira,60747317305,chocolate po dubom,5,dubom,5,5f37a52700f1804a
Joao Nascimento Lima,6167112398,refrigerante laranjinha,5,laranjinha,4,45c4d145142850d3
Matheus Ferreira Santana,1291102647,acucar refinado uniao,3,união,4,4ad51bf5be0f6ebf
Henrique Santos Almeida,10114581010,suco laranja kapo,5,kapo,2,b0f19386516f2f69
Zoe Carvalho Ferreira,60747317305,manteiga aviacao,3,aviacao,4,5397960aeba2e6b3
Lucas Carvalho,98765432100,oleo soja soya,1,soya,1,115b0cd735758b62
Olivia Oliveira Freitas,94232829032,melancia,3,generico,1,4fa3230bc9e14928
Isabela Santos Lima,25925780132,acucar refinado uniao,3,união,5,4ad51bf5be0f6ebf
Isabela Nunes Cardoso,45161646632,cheiro verde misto,3,generico,1,a6af865ce62f0ffd
Otavio Souza Rocha,12548055590,melancia,3,generico,3,4fa3230bc9e14928
Olivia Oliveira Freitas,94232829032,sorvete chocolate toya,1,toya,2,4d1321dc998bb78c
Igor Souza Moreira,95830436809,refrigerante bare,5,bare,5,da41e5c5c5ddf98c
Matheus Ferreira Santana,1291102647,refrigerante coca cola,1,coca cola,4,b859dc801d8350ec
Vitoria Costa Andrade,13247830448,cheiro verde misto,5,generico,3,a6af865ce62f0ffd
Henrique Santos Almeida,10114581010,melancia,4,generico,5,4fa3230bc9e14928
Henrique Santos Almeida,10114581010,mini waffer brig trigolino,5,trigolino,5,d0c1db793f17062e
Henrique Santos Almeida,10114581010,chocolate po dubom,5,dubom,5,5f37a52700f1804a
Beatriz Marques Barbosa,55565857503,suco morango kapo,5,kapo,4,2a03f46abe452c69
Matheus Ferreira Santana,1291102647,creme dental colgate,5,colgate,5,6675903bd8378edd
Isabela Santos Lima,25925780132,suco laranja dafruta,5,dafruta,1,3dbc58dc82f8efe9
Joao Nascimento Lima,6167112398,macarrao renata espaguete,4,renata,5,ee1490e9b7a35448
Beatriz Moreira Lima,70903418525,goma tapioca jo alimentos,3,generico,5,b0f59646ddc9458c
Beatriz Marques Barbosa,55565857503,oleo soja soya,4,soya,1,115b0cd735758b62
Isabela Costa Souza,71475109172,rosquinha coco galo,3,galo,4,404ff7046866c3ed
Igor Souza Moreira,95830436809,farinha lactea nestle,4,nestle,2,46ab29ed9bb90277
Beatriz Moreira Lima,70903418525,frango perdigao,2,perdigao,1,820d2ae8c8ad4579
Olivia Oliveira Freitas,94232829032,acucar refinado uniao,3,união,4,4ad51bf5be0f6ebf
Larissa Carvalho Ferreira,45756376372,pao integral rap10,3,rap10,5,152e5ac17c247386
Lucas Carvalho,98765432100,acucar refinado uniao,1,união,4,4ad51bf5be0f6ebf
Lucas Carvalho,98765432100,frango perdigao,3,perdigao,3,820d2ae8c8ad4579
Vinicius Lopes Fernandes,64448139212,papel higienico perfurmado flor lotus,4,flor de lotus,5,0bfd9ef01bb0c0be
Isabela Santos Lima,25925780132,acucar refinado uniao,2,união,3,4ad51bf5be0f6ebf
Isabela Santos Lima,25925780132,presunto cozido bigbom,5,big bom,1,bbd7ad169db9ba96
Caio Moreira Costa,11387575864,sorvete chocolate toya,1,toya,5,4d1321dc998bb78c
Igor Souza Moreira,95830436809,rosquinha coco galo,4,galo,4,404ff7046866c3ed
Igor Souza Moreira,95830436809,pao integral rap10,2,rap10,1,152e5ac17c247386
Igor Souza Moreira,95830436809,pao frances,4,generico,3,d50b681b711f8c2e
Vinicius Lopes Fernandes,64448139212,oleo soja concord,3,concord,2,d62cd37fcb75ae41
Lucas Carvalho,98765432100,goma tapioca jo alimentos,4,generico,4,b0f59646ddc9458c
Beatriz Marques Barbosa,55565857503,papel higienico neve,3,neve,5,2787dd01f45d49b0
Caio Moreira Costa,11387575864,manteiga aviacao,5,aviacao,2,5397960aeba2e6b3
Isabela Costa Souza,71475109172,arroz tio joao,4,tio joão,5,91e92082aec624ed
Beatriz Marques Barbosa,55565857503,presunto cozido bigbom,4,big bom,4,bbd7ad169db9ba96
Larissa Carvalho Ferreira,45756376372,chocolate po dubom,5,dubom,4,5f37a52700f1804a
Olivia Oliveira Freitas,94232829032,calabresa perdigao,4,perdigao,2,3b786ddf17a84fdb
Vitoria Costa Andrade,13247830448,refrigerante bare,3,bare,1,da41e5c5c5ddf98c
Caio Moreira Costa,11387575864,queijo mussarela fatiado,5,generico,4,405c85bc4c79e9d8
Isabela Nunes Cardoso,45161646632,pao integral rap10,4,rap10,4,152e5ac17c247386
Patricia Oliveira Barbosa,86406968026,suco laranja kapo,4,kapo,3,b0f19386516f2f69
Zoe Carvalho Ferreira,60747317305,cheiro verde misto,3,generico,2,a6af865ce62f0ffd
Matheus Ferreira Santana,1291102647,sorvete chocolate toya,5,toya,5,4d1321dc998bb78c
Vitoria Costa Andrade,13247830448,salsicha hot dog seara,1,seara,5,80aed25561e211eb
Vinicius Lopes Fernandes,64448139212,farinha lactea nestle,5,nestle,5,46ab29ed9bb90277
Beatriz Marques Barbosa,55565857503,calabresa perdigao,4,perdigao,3,3b786ddf17a84fdb
Zoe Carvalho Ferreira,60747317305,nissin tomate turma monica,1,nissin,5,100aa838694d80b7
Beatriz Moreira Lima,70903418525,frango perdigao congelado,4,perdigao,5,d6c46501a2daf86d
Beatriz Marques Barbosa,55565857503,melancia,4,generico,5,4fa3230bc9e14928
Larissa Carvalho Ferreira,45756376372,pao frances,5,generico,5,d50b681b711f8c2e
Vitoria Costa Andrade,13247830448,leite condensado semidesnatado tirol,3,tirol,5,d1f22bd632c5ff26
Andre Barbosa Lima,77106803308,queijo mussarela fatiado,5,generico,3,405c85bc4c79e9d8
Larissa Carvalho Ferreira,45756376372,leite condensado semidesnatado tirol,3,tirol,5,d1f22bd632c5ff26
Lucas Carvalho,98765432100,pao integral rap10,4,rap10,3,152e5ac17c247386
Matheus Ferreira Santana,1291102647,papel higienico perfurmado flor lotus,5,flor de lotus,4,0bfd9ef01bb0c0be
Andre Barbosa Lima,77106803308,queijo mussarela fatiado,5,generico,3,405c85bc4c79e9d8
Olivia Oliveira Freitas,94232829032,refrigerante coca cola,2,coca cola,4,b859dc801d8350ec
Vitoria Costa Andrade,13247830448,farinha lactea nestle,5,nestle,3,46ab29ed9bb90277
Beatriz Moreira Lima,70903418525,cafe pilao,5,pilao,1,595a16276251ffad
Vinicius Cardoso Costa,97616924000,leite condensado mococa,4,mococa,4,6cc6e39b987fc50a
Vitoria Costa Andrade,13247830448,frango perdigao,2,perdigao,1,820d2ae8c8ad4579
Olivia Oliveira Freitas,94232829032,oleo soya,5,soya,3,a487f6e16421e74e
Otavio Souza Rocha,12548055590,queijo mussarela fatiado,2,generico,5,405c85bc4c79e9d8
Matheus Ferreira Santana,1291102647,suco morango kapo,3,kapo,5,2a03f46abe452c69
Andre Barbosa Lima,77106803308,acucar refinado uniao,4,união,5,4ad51bf5be0f6ebf
Olivia Oliveira Freitas,94232829032,creme dental colgate,3,colgate,3,6675903bd8378edd
Igor Souza Moreira,95830436809,pao de forma,4,generico,2,7c0d84a202081aeb
Isabela Costa Souza,71475109172,nissin tomate turma monica,5,nissin,1,100aa838694d80b7
Patricia Oliveira Barbosa,86406968026,papel higienico perfurmado flor lotus,5,flor de lotus,5,0bfd9ef01bb0c0be
Joao Nascimento Lima,6167112398,refrigerante bare,5,bare,4,da41e5c5c5ddf98c
Vinicius Cardoso Costa,97616924000,chocolate po dubom,4,dubom,2,5f37a52700f1804a
Vinicius Cardoso Costa,97616924000,suco maracuja kapo,3,kapo,4,c9e0b63010291868
Caio Moreira Costa,11387575864,frango perdigao,5,perdigao,3,820d2ae8c8ad4579
Isabela Costa Souza,71475109172,refrigerante grapette,3,grapette,4,b18ec33b49021f37
Otavio Souza Rocha,12548055590,suco morango kapo,5,kapo,4,2a03f46abe452c69
Beatriz Moreira Lima,70903418525,chocolate po dubom,5,dubom,4,5f37a52700f1804a
Patricia Oliveira Barbosa,86406968026,suco maracuja kapo,5,kapo,2,c9e0b63010291868
Caio Moreira Costa,11387575864,nescau po,4,nescau,5,a18b3d828ffb3386
Henrique Santos Almeida,10114581010,bala eucalipto freegells,4,freegells,4,5fa1193e6c084a06
Vinicius Cardoso Costa,97616924000,milho pipoca campi,3,campi,3,ce8e300dffdeb602
Matheus Ferreira Santana,1291102647,iogurte nestle morango,4,nestle,5,7e9c0100871ad92b
Isabela Santos Lima,25925780132,papel higienico perfurmado flor lotus,4,flor de lotus,2,0bfd9ef01bb0c0be
Igor Souza Moreira,95830436809,batata palha scrush,5,scrush,5,896e9930b557a4ee
Vitoria Costa Andrade,13247830448,frango perdigao,4,perdigao,4,820d2ae8c8ad4579
Ana Marques Vieira,81076193820,feijao carioca,5,generico,3,34fa3239bb692bcf
Lucas Carvalho,98765432100,refrigerante grapette,3,grapette,5,b18ec33b49021f37
Isabela Nunes Cardoso,45161646632,milho pipoca campi,4,campi,2,ce8e300dffdeb602
Beatriz Moreira Lima,70903418525,leite condensado semidesnatado tirol,5,tirol,4,d1f22bd632c5ff26
Otavio Souza Rocha,12548055590,sabonete dove,4,dove,4,02b277c4789da68c
Vinicius Cardoso Costa,97616924000,presunto cozido bigbom,3,big bom,4,bbd7ad169db9ba96
Igor Souza Moreira,95830436809,leite condensado semidesnatado tirol,4,tirol,2,d1f22bd632c5ff26
Andre Barbosa Lima,77106803308,oleo soya,4,soya,5,a487f6e16421e74e
Patricia Oliveira Barbosa,86406968026,bala eucalipto freegells,4,freegells,5,5fa1193e6c084a06
Larissa Carvalho Ferreira,45756376372,pao de forma,5,generico,4,7c0d84a202081aeb
Ana Marques Vieira,81076193820,papel higienico neve,3,neve,2,2787dd01f45d49b0
Vinicius Cardoso Costa,97616924000,melancia,3,generico,2,4fa3230bc9e14928
Caio Moreira Costa,11387575864,suco maracuja kapo,3,kapo,5,c9e0b63010291868
Igor Souza Moreira,95830436809,suco laranja dafruta,2,dafruta,4,3dbc58dc82f8efe9
Henrique Santos Almeida,10114581010,presunto cozido bigbom,3,big bom,4,bbd7ad169db9ba96
Vinicius Lopes Fernandes,64448139212,suco laranja dafruta,5,dafruta,4,3dbc58dc82f8efe9
Matheus Ferreira Santana,1291102647,oleo soya,5,soya,3,a487f6e16421e74e
Patricia Oliveira Barbosa,86406968026,goma tapioca jo alimentos,5,generico,4,b0f59646ddc9458c
Beatriz Marques Barbosa,55565857503,acucar uniao,5,união,4,fc1b0d5db586ebe9
Lucas Carvalho,98765432100,acucar uniao,4,união,4,fc1b0d5db586ebe9
Olivia Oliveira Freitas,94232829032,frango perdigao,4,perdigao,4,820d2ae8c8ad4579
Beatriz Marques Barbosa,55565857503,acucar uniao,5,união,3,fc1b0d5db586ebe9
Lucas Carvalho,98765432100,oleo soja soya,5,soya,3,115b0cd735758b62
Caio Moreira Costa,11387575864,refrigerante coca cola,4,coca cola,5,b859dc801d8350ec
Isabela Santos Lima,25925780132,refrigerante coca cola,5,coca cola,5,b859dc801d8350ec
Vinicius Lopes Fernandes,64448139212,oleo soja soya,5,soya,2,115b0cd735758b62
Henrique Santos Almeida,10114581010,rosquinha coco galo,3,galo,4,404ff7046866c3ed
Matheus Ferreira Santana,1291102647,sabonete palm,5,palmolive,5,a0b9e00f24ed41d1
Patricia Oliveira Barbosa,86406968026,suco laranja dafruta,3,dafruta,5,3dbc58dc82f8efe9
Olivia Oliveira Freitas,94232829032,papel higienico perfurmado flor lotus,3,flor de lotus,3,0bfd9ef01bb0c0be
Igor Souza Moreira,95830436809,leite condensado mococa,1,mococa,4,6cc6e39b987fc50a
Vinicius Lopes Fernandes,64448139212,arroz tio joao,5,tio joão,4,91e92082aec624ed
Caio Moreira Costa,11387575864,bala eucalipto freegells,5,freegells,5,5fa1193e6c084a06
Isabela Nunes Cardoso,45161646632,sabonete palm,3,palmolive,3,a0b9e00f24ed41d1
Otavio Souza Rocha,12548055590,refrigerante bare,1,bare,5,da41e5c5c5ddf98c
Isabela Nunes Cardoso,45161646632,calabresa perdigao,3,perdigao,3,3b786ddf17a84fdb
Andre Barbosa Lima,77106803308,nissin tomate turma monica,5,nissin,1,100aa838694d80b7
Andre Barbosa Lima,77106803308,milho pipoca campi,5,campi,4,ce8e300dffdeb602
Caio Moreira Costa,11387575864,sorvete chocolate toya,2,toya,4,4d1321dc998bb78c
Joao Nascimento Lima,6167112398,cafe pilao,5,pilao,5,595a16276251ffad
Otavio Souza Rocha,12548055590,melancia,3,generico,3,4fa3230bc9e14928
Matheus Ferreira Santana,1291102647,oleo soja soya,3,soya,4,115b0cd735758b62
Ana Marques Vieira,81076193820,salsicha hot dog seara,4,seara,3,80aed25561e211eb
Vitoria Costa Andrade,13247830448,nescau po,4,nescau,5,a18b3d828ffb3386
Patricia Oliveira Barbosa,86406968026,refrigerante bare,5,bare,3,da41e5c5c5ddf98c
Isabela Costa Souza,71475109172,salsicha hot dog seara,3,seara,4,80aed25561e211eb
Isabela Nunes Cardoso,45161646632,presunto cozido bigbom,3,big bom,4,bbd7ad169db9ba96
Isabela Santos Lima,25925780132,rosquinha coco galo,4,galo,5,404ff7046866c3ed
Vinicius Cardoso Costa,97616924000,frango perdigao congelado,4,perdigao,4,d6c46501a2daf86d
Beatriz Marques Barbosa,55565857503,frango perdigao congelado,4,perdigao,4,d6c46501a2daf86d
Otavio Souza Rocha,12548055590,bala eucalipto freegells,4,freegells,4,5fa1193e6c084a06
Olivia Oliveira Freitas,94232829032,frango perdigao congelado,1,perdigao,4,d6c46501a2daf86d
Caio Moreira Costa,11387575864,salsicha hot dog seara,3,seara,5,80aed25561e211eb
Henrique Santos Almeida,10114581010,mini waffer brig trigolino,5,trigolino,1,d0c1db793f17062e
Vinicius Lopes Fernandes,64448139212,frango perdigao,4,perdigao,5,820d2ae8c8ad4579
Isabela Nunes Cardoso,45161646632,achocolatado po nescau,1,nescau,4,4b18a3d1193a0b75
Andre Barbosa Lima,77106803308,pao de forma,5,generico,3,7c0d84a202081aeb
Isabela Santos Lima,25925780132,frango perdigao,3,perdigao,4,820d2ae8c8ad4579
Joao Nascimento Lima,6167112398,leite condensado semidesnatado tirol,4,tirol,3,d1f22bd632c5ff26
Zoe Carvalho Ferreira,60747317305,sabonete dove,5,dove,3,02b277c4789da68c
Larissa Carvalho Ferreira,45756376372,suco morango kapo,4,kapo,5,2a03f46abe452c69
Olivia Oliveira Freitas,94232829032,batata palha scrush,1,scrush,4,896e9930b557a4ee
Isabela Nunes Cardoso,45161646632,refrigerante laranjinha,5,laranjinha,3,45c4d145142850d3
Vinicius Lopes Fernandes,64448139212,milho pipoca campi,2,campi,4,ce8e300dffdeb602
Vinicius Cardoso Costa,97616924000,biscoito brig trigolino,3,trigolino,5,bae138b239e23b96
Otavio Souza Rocha,12548055590,sabonete dove,2,dove,5,02b277c4789da68c
Beatriz Marques Barbosa,55565857503,suco laranja dafruta,5,dafruta,5,3dbc58dc82f8efe9
Isabela Nunes Cardoso,45161646632,rosquinha coco galo,3,galo,2,404ff7046866c3ed
Lucas Carvalho,98765432100,sabonete palm,3,palmolive,5,a0b9e00f24ed41d1
Beatriz Marques Barbosa,55565857503,acucar refinado uniao,5,união,5,4ad51bf5be0f6ebf
Larissa Carvalho Ferreira,45756376372,bala eucalipto freegells,1,freegells,5,5fa1193e6c084a06
Otavio Souza Rocha,12548055590,papel higienico neve,3,neve,5,2787dd01f45d49b0
Larissa Carvalho Ferreira,45756376372,biscoito brig trigolino,4,trigolino,4,bae138b239e23b96
Larissa Carvalho Ferreira,45756376372,salsicha hot dog seara,3,seara,2,80aed25561e211eb
Isabela Costa Souza,71475109172,iogurte nestle morango,2,nestle,3,7e9c0100871ad92b
Andre Barbosa Lima,77106803308,frango perdigao,4,perdigao,3,820d2ae8c8ad4579
Vinicius Lopes Fernandes,64448139212,salsicha hot dog seara,4,seara,4,80aed25561e211eb
Matheus Ferreira Santana,1291102647,oleo soya,5,soya,5,a487f6e16421e74e
Otavio Souza Rocha,12548055590,feijao carioca,1,generico,5,34fa3239bb692bcf
Joao Nascimento Lima,6167112398,cheiro verde misto,4,generico,2,a6af865ce62f0ffd
Vinicius Lopes Fernandes,64448139212,cafe pilao,3,pilao,3,595a16276251ffad
Igor Souza Moreira,95830436809,leite condensado semidesnatado tirol,3,tirol,4,d1f22bd632c5ff26
Isabela Nunes Cardoso,45161646632,frango perdigao congelado,3,perdigao,3,d6c46501a2daf86d
Igor Souza Moreira,95830436809,papel higienico perfurmado flor lotus,3,flor de lotus,1,0bfd9ef01bb0c0be
Henrique Santos Almeida,10114581010,refrigerante grapette,2,grapette,3,b18ec33b49021f37
Lucas Carvalho,98765432100,sorvete chocolate toya,4,toya,5,4d1321dc998bb78c
Caio Moreira Costa,11387575864,pao integral rap10,3,rap10,1,152e5ac17c247386
Vinicius Lopes Fernandes,64448139212,manteiga aviacao,5,aviacao,4,5397960aeba2e6b3
Olivia Oliveira Freitas,94232829032,refrigerante coca cola,3,coca cola,5,b859dc801d8350ec
Vinicius Cardoso Costa,97616924000,nescau po,4,nescau,1,a18b3d828ffb3386
